model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
patchtst,43.0,CO,72,1236.2144775390625,841.4618530273438,0.16192323723995428,61.11956787109375,4264
patchtst,43.0,SO2,6,14.34617805480957,9.941522598266602,-0.2606262090655753,96.47721099853516,3414
patchtst,43.0,SO2,24,18.026700973510742,13.544761657714844,-0.750572115848706,91.02970886230469,3453
patchtst,43.0,SO2,72,15.717376708984375,12.05191707611084,-0.35887436514503324,89.466552734375,3452
patchtst,44.0,PM2.5,6,57.91889190673828,37.642303466796875,0.4980026891285858,65.6640625,4282
patchtst,44.0,PM2.5,24,80.66263580322266,54.15008544921875,0.1943041260713395,70.3921890258789,4295
patchtst,44.0,PM2.5,72,89.53028106689453,59.50416946411133,0.003922115187158792,76.44039154052734,4294
patchtst,44.0,PM10,6,69.35966491699219,43.13226318359375,0.4227469499405153,59.34111022949219,4295
patchtst,44.0,PM10,24,97.509521484375,65.02528381347656,0.12941144479233102,62.19150924682617,4310
patchtst,44.0,PM10,72,104.09690856933594,69.92511749267578,0.007580072808146654,66.23213958740234,4309
patchtst,44.0,NO2,6,25.084821701049805,19.388160705566406,0.39799265726617716,48.12906265258789,4083
patchtst,44.0,NO2,24,32.95661926269531,24.997041702270508,0.22764493623139437,50.53572082519531,4295
patchtst,44.0,NO2,72,34.56731033325195,25.841880798339844,0.1393842388906873,53.24767303466797,4294
patchtst,44.0,O3,6,24.920902252197266,19.76642608642578,0.2594485353405712,87.05223083496094,4211
patchtst,44.0,O3,24,34.67982864379883,28.49974250793457,0.31141121669753513,80.90516662597656,4238
patchtst,44.0,O3,72,37.27132797241211,30.87379264831543,0.20324232229754136,81.81591033935547,4237
patchtst,44.0,CO,6,964.5733642578125,558.9953002929688,0.44838130953422106,56.30729293823242,4238
patchtst,44.0,CO,24,1208.62109375,738.3247680664062,0.20190594898575642,60.20851135253906,4265
patchtst,44.0,CO,72,1293.9228515625,785.9564819335938,0.08185156723803799,62.47119140625,4264
patchtst,44.0,SO2,6,13.540205001831055,8.840840339660645,-0.12296014686628598,123.17193603515625,3414
patchtst,44.0,SO2,24,14.054231643676758,9.910994529724121,-0.06404908836861911,119.85537719726562,3453
patchtst,44.0,SO2,72,13.89079761505127,10.061954498291016,-0.061386476638094045,121.27556610107422,3452
two_stage_knn,42.0,PM2.5,6,50.60907745361328,32.3443603515625,0.6167185879425916,54.062782287597656,4282
two_stage_knn,42.0,PM2.5,24,76.41776275634766,54.34599304199219,0.2768723747727234,67.9217529296875,4295
two_stage_knn,42.0,PM2.5,72,85.96182250976562,59.89411926269531,0.08174233502100892,74.66175079345703,4294
two_stage_knn,42.0,PM10,6,61.49090576171875,40.28476333618164,0.5462945020815746,51.24370574951172,4295
two_stage_knn,42.0,PM10,24,93.62125396728516,65.79371643066406,0.1974579969127842,60.60992431640625,4310
two_stage_knn,42.0,PM10,72,101.74585723876953,70.75585174560547,0.05190190454005217,66.18797302246094,4309
two_stage_knn,42.0,NO2,6,22.34900665283203,16.75832748413086,0.5221449489913494,42.16937255859375,4083
